,age,gender,device,date,sum,count
0,18-24,F,android,2014-03-01,31.0,13
1,18-24,F,android,2014-03-02,69.0,5
2,18-24,F,android,2014-03-03,40.0,6
3,18-24,F,android,2014-03-04,49.0,7
4,18-24,F,android,2014-03-05,113.0,5
5,18-24,F,android,2014-03-06,1.0,2
6,18-24,F,android,2014-03-07,116.0,8
7,18-24,F,android,2014-03-08,0.0,9
8,18-24,F,android,2014-03-09,27.0,1
9,18-24,F,android,2014-03-10,105.0,9
10,18-24,F,android,2014-03-11,45.0,4
11,18-24,F,android,2014-03-12,200.0,6
12,18-24,F,android,2014-03-13,142.0,11
13,18-24,F,android,2014-03-14,85.0,4
14,18-24,F,android,2014-03-15,112.0,3
15,18-24,F,android,2014-03-16,0.0,3
16,18-24,F,android,2014-03-17,57.0,4
17,18-24,F,android,2014-03-18,48.0,5
18,18-24,F,android,2014-03-19,93.0,5
19,18-24,F,android,2014-03-20,177.0,5
20,18-24,F,android,2014-03-21,67.0,3
21,18-24,F,android,2014-03-22,88.0,7
22,18-24,F,android,2014-03-23,57.0,1
23,18-24,F,android,2014-03-24,145.0,5
24,18-24,F,android,2014-03-25,48.0,2
25,18-24,F,android,2014-03-26,76.0,5
26,18-24,F,android,2014-03-27,0.0,1
27,18-24,F,android,2014-03-28,99.0,4
28,18-24,F,android,2014-03-29,54.0,4
29,18-24,F,android,2014-03-30,130.0,6
30,18-24,F,android,2014-03-31,67.0,2
31,18-24,F,iOS,2014-03-01,64.0,10
32,18-24,F,iOS,2014-03-02,37.0,8
33,18-24,F,iOS,2014-03-03,70.0,6
34,18-24,F,iOS,2014-03-04,170.0,10
35,18-24,F,iOS,2014-03-05,0.0,6
36,18-24,F,iOS,2014-03-06,132.0,8
37,18-24,F,iOS,2014-03-07,31.0,6
38,18-24,F,iOS,2014-03-08,40.0,2
39,18-24,F,iOS,2014-03-09,109.0,6
40,18-24,F,iOS,2014-03-10,134.0,9
41,18-24,F,iOS,2014-03-11,111.0,6
42,18-24,F,iOS,2014-03-12,74.0,3
43,18-24,F,iOS,2014-03-13,152.0,9
